calibration_date,history_cutoff_date,fixed_k,effective_start_date,effective_end_date,risk_alpha,validation_days,mean_validation_cost_yuan,standard_error_yuan,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,selected,fallback_reason
2025-10-08,2025-10-07,8,2025-10-08,2025-10-21,0.6,14,32837.860198710376,2907.944053510986,9472.675211689704,0.07500629457146195,True,True,
2025-10-08,2025-10-07,8,2025-10-08,2025-10-21,0.7,14,33162.41751997242,2863.1389594446146,9511.152361719911,0.08160529457174041,True,False,
2025-10-08,2025-10-07,8,2025-10-08,2025-10-21,0.8,14,33511.07687410755,2817.51824075372,9570.075855753717,0.07144945242492083,True,False,
2025-10-08,2025-10-07,8,2025-10-08,2025-10-21,0.9,14,34269.32649021516,2717.135854239791,9348.915463997102,0.0730151073637119,True,False,
2025-10-22,2025-10-21,8,2025-10-22,2025-11-04,0.6,14,32164.88791230898,2889.884674398328,10242.623387419762,0.07516222006649644,True,True,
2025-10-22,2025-10-21,8,2025-10-22,2025-11-04,0.7,14,32411.008856403085,2845.6303926788532,10175.07299980314,0.07866692242428794,True,False,
2025-10-22,2025-10-21,8,2025-10-22,2025-11-04,0.8,14,32848.12862761497,2801.3673844323102,10304.833514714934,0.07559950900031254,True,False,
2025-10-22,2025-10-21,8,2025-10-22,2025-11-04,0.9,14,33304.580874909414,2693.0808376424816,9912.449598227286,0.07554490507131309,True,False,
2025-11-05,2025-11-04,8,2025-11-05,2025-11-18,0.6,14,36084.90410057364,2998.6860377442013,10283.287559268074,0.08127267556847073,True,True,
2025-11-05,2025-11-04,8,2025-11-05,2025-11-18,0.7,14,36370.4114655919,2928.7400125768604,10282.681627300417,0.08066985706890202,True,False,
2025-11-05,2025-11-04,8,2025-11-05,2025-11-18,0.8,14,36638.010847275196,2862.688157833719,10300.021916587277,0.08077241663496741,True,False,
2025-11-05,2025-11-04,8,2025-11-05,2025-11-18,0.9,14,37232.53631836522,2708.9782893734578,10369.177126622253,0.08042112493213997,True,False,
2025-11-19,2025-11-18,8,2025-11-19,2025-12-02,0.6,14,37896.860019180065,3527.4991970575566,7890.0831945542295,0.0826987825670845,True,True,
2025-11-19,2025-11-18,8,2025-11-19,2025-12-02,0.7,14,38009.148886249175,3502.122976545937,7893.598464018519,0.08444348506704305,True,False,
2025-11-19,2025-11-18,8,2025-11-19,2025-12-02,0.8,14,38412.560553941454,3379.7645259638302,7874.3316957596635,0.09303714899786948,True,False,
2025-11-19,2025-11-18,8,2025-11-19,2025-12-02,0.9,14,38896.449293190955,3247.103135434624,7792.620783270591,0.08211597321496811,True,False,
2025-12-03,2025-12-02,8,2025-12-03,2025-12-16,0.6,14,42671.960497912914,5100.096515447873,18328.5894680438,0.08907404786025706,True,True,
2025-12-03,2025-12-02,8,2025-12-03,2025-12-16,0.7,14,42816.02507440373,5052.670992992131,18332.288456882958,0.09143172036523797,True,False,
2025-12-03,2025-12-02,8,2025-12-03,2025-12-16,0.8,14,42998.923735562,4996.04765678813,18283.698330762592,0.08648024106722525,True,False,
2025-12-03,2025-12-02,8,2025-12-03,2025-12-16,0.9,14,43326.111109578356,4910.009340893897,18254.13136600199,0.08857801471146688,True,False,
2025-12-17,2025-12-16,8,2025-12-17,2025-12-30,0.6,14,49096.58676423274,4470.44416072262,21917.472385406534,0.08189244364621118,True,False,
2025-12-17,2025-12-16,8,2025-12-17,2025-12-30,0.7,14,49067.87380283628,4492.5345620596,20760.409840410284,0.08125221428469688,True,True,
2025-12-17,2025-12-16,8,2025-12-17,2025-12-30,0.8,14,49246.08126061084,4445.797798501491,20564.622895542994,0.08003714606872693,True,False,
2025-12-17,2025-12-16,8,2025-12-17,2025-12-30,0.9,14,49430.70926686983,4390.4693193504045,19701.56659084149,0.08128423800059993,True,False,
2025-12-31,2025-12-30,8,2025-12-31,2025-12-31,0.6,14,48113.42655450084,4266.62917110951,365.3861219173082,0.09291441657322659,True,True,
2025-12-31,2025-12-30,8,2025-12-31,2025-12-31,0.7,14,48240.32374997304,4226.00352089639,371.74309340266444,0.08601063415075519,True,False,
2025-12-31,2025-12-30,8,2025-12-31,2025-12-31,0.8,14,48417.06499417477,4168.728815552368,376.87427311439745,0.0861340027913684,True,False,
2025-12-31,2025-12-30,8,2025-12-31,2025-12-31,0.9,14,48669.58885484594,4093.7937951525464,367.6360182863522,0.08557005629492258,True,False,
