calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,validation_days,validation_start_date,validation_end_date,window_start_soc_kwh,candidate_soc_end_kwh,candidate_soc_path_kwh,mean_actual_cost_yuan,standard_error_yuan,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_solve_seconds,used_full_day_actual_lp,future_actuals_in_optimizer,selection_criterion,one_se_threshold_yuan,selected,fallback_reason
2025-01-01,attachment1_fallback,2025-01-01,2025-01-14,m1,,0,none,none,6000.0,,,,,,,,,False,False,mean_actual_cost_sum_pq_plus_5pe,,True,insufficient_prior_14_day_window
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m2,0.6,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1243.011291;1220.983661;1215.721109;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.639083;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,44421.32966428712,3953.4604713120616,39759.755011104964,4661.574653182168,4899.956545878257,8.425024564826995,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m2,0.7,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1243.011291;1220.983661;1215.721109;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.639083;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,44483.221029478715,3939.765501916099,39843.65240676427,4639.5686227144515,4955.414833736582,8.51430697943267,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m2,0.8,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1243.011291;1220.983661;1215.721109;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.639083;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,44568.36516937192,3898.8468705569385,40023.73855829778,4544.62661107415,5036.397819220197,8.62895510913638,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m2,0.9,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1243.011291;1220.983661;1215.721109;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.639083;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,44843.25286762457,3832.2794613991196,40319.32965168337,4523.923215941206,5223.801111317567,8.642576090309635,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m3,0.6,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1204.300010;1200.000000,45761.8030017334,3956.8202605615943,39144.495673424724,6617.307328308673,4597.065205396074,4.085635713925252,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,True,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m3,0.7,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1204.300010;1200.000000,45771.29037082886,3908.831818342163,39300.09157053942,6471.198800289434,4652.2040010728115,4.104659616938859,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m3,0.8,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1204.300010;1200.000000,45921.545147452925,3890.5984072602187,39482.29034266553,6439.254804787392,4746.226247736028,4.0991896062291096,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m3,0.9,14,2025-02-12,2025-02-25,1242.7113370184784,1200.0,1242.711337;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1204.300010;1200.000000,45974.85394444926,3828.6564806067327,39669.23255378845,6305.62139066082,4849.644435096941,4.080534511524353,False,False,mean_actual_cost_sum_pq_plus_5pe,49718.623262295,False,
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m1,0.6,14,2025-02-26,2025-03-11,1200.0,1200.0,1200.000000;1200.000000;1200.000000;1200.000000;1200.143295;1200.000000;1201.170049;1200.000000;1200.000000;1200.000000;1200.265026;1200.000000;1200.000000;1200.000000;1200.000000,44169.669736138625,4444.054120717281,36282.29478567452,7887.374950464093,4377.928538398341,8.444767442764714,False,False,mean_actual_cost_sum_pq_plus_5pe,48457.90803234575,False,
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m1,0.7,14,2025-02-26,2025-03-11,1200.0,1200.0,1200.000000;1200.000000;1200.000000;1200.000000;1200.143295;1200.000000;1201.170049;1200.000000;1200.000000;1200.000000;1200.265026;1200.000000;1200.000000;1200.000000;1200.000000,44171.02861608391,4417.769704476899,36349.99861686698,7821.029999216928,4409.273696192055,8.615026353384435,False,False,mean_actual_cost_sum_pq_plus_5pe,48457.90803234575,False,
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m1,0.8,14,2025-02-26,2025-03-11,1200.0,1200.0,1200.000000;1200.000000;1200.000000;1200.000000;1200.143295;1200.000000;1201.170049;1200.000000;1200.000000;1200.000000;1200.265026;1200.000000;1200.000000;1200.000000;1200.000000,44390.84956705088,4341.362721247179,36594.73146219714,7796.118104853749,4560.868409914947,8.707947212163292,False,False,mean_actual_cost_sum_pq_plus_5pe,48457.90803234575,False,
