calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,load_mae_kwh,pv_mae_kwh,net_load_mae_kwh,quantile_coverage,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_actual_cost_yuan,selected,selection_role
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m2,0.6,16.60365725859788,26.1195173859127,35.714326669973545,0.459104938271605,27500.38053732133,5629.574465072005,1828.4779643839659,33129.95500239334,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m2,0.7,16.60365725859788,26.1195173859127,35.714326669973545,0.459104938271605,27753.160218882964,5574.124792205491,2070.464249506557,33327.285011088454,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m2,0.8,16.60365725859788,26.1195173859127,35.714326669973545,0.459104938271605,28197.438789688673,5497.5573420000055,2249.633782190787,33694.99613168868,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m2,0.9,16.60365725859788,26.1195173859127,35.714326669973545,0.459104938271605,29392.325222564778,5221.679844261324,2781.774047009348,34614.005066826096,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m3,0.6,16.66433767113095,26.08069439986064,35.90429702020739,0.4638413525132275,27409.681542970033,5738.276743483335,1716.594146164881,33147.95828645337,True,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m3,0.7,16.66433767113095,26.08069439986064,35.90429702020739,0.4638413525132275,27718.77364826779,5743.961863628191,1850.26486477805,33462.73551189599,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m3,0.8,16.66433767113095,26.08069439986064,35.90429702020739,0.4638413525132275,28260.60143962527,5554.136688650529,2164.029792465005,33814.7381282758,False,diagnostic_only
2025-04-23,2025-04-22,2025-04-23,2025-05-06,m3,0.9,16.66433767113095,26.08069439986064,35.90429702020739,0.4638413525132275,29296.74261974953,5374.323498599296,2553.5814061280153,34671.06611834882,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m1,0.6,23.254060183118387,34.07842034084467,48.791678703998954,0.4282717427248678,25930.607441930213,12706.990058238489,1177.0325411926885,38637.59750016871,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m1,0.7,23.254060183118387,34.07842034084467,48.791678703998954,0.4282717427248678,26391.742245484773,12496.754016953684,1264.4245054962746,38888.496262438464,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m1,0.8,23.254060183118387,34.07842034084467,48.791678703998954,0.4282717427248678,27052.96532411551,12341.592752080298,1563.797271744678,39394.55807619581,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m1,0.9,23.254060183118387,34.07842034084467,48.791678703998954,0.4282717427248678,27931.487129691002,12146.92442272931,2224.401295779889,40078.41155242031,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m2,0.6,23.54920406332671,35.140201562499996,50.01313828125001,0.4252369929453263,26021.468699555287,12591.631722098682,1268.3080604249603,38613.10042165398,False,diagnostic_only
