date,q_max_abs_kwh,q_sum_abs_kwh,planned_cost_abs_yuan,charge_block_abs_kwh,soc_start_abs_kwh,soc_end_abs_kwh,soc_vs_dispatch_abs_kwh,emergency_abs_kwh,emergency_vs_ledger_abs_kwh,emergency_recon_abs_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,max_simultaneous_cd_kwh2,charge_power_ok,discharge_power_ok,soc_bounds_ok
2025-08-05,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-06,4.547473508864641e-13,0.0,7.275957614183426e-12,9.094947017729282e-13,0.0,0.0,0.0,4.547473508864641e-13,9.094947017729282e-13,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-07,4.547473508864641e-13,7.275957614183426e-12,0.0,2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-08,4.547473508864641e-13,0.0,0.0,1.8189894035458565e-12,0.0,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-08-09,4.547473508864641e-13,7.275957614183426e-12,3.637978807091713e-12,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-08-10,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,2.8421709430404007e-13,0.0,0.0,True,True,True
2025-08-11,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-12,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,1.3642420526593924e-12,1.3642420526593924e-12,1.3642420526593924e-12,5.684341886080801e-13,0.0,0.0,True,True,True
2025-08-13,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-14,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,3.4638958368304884e-13,0.0,0.0,True,True,True
2025-08-15,2.2737367544323206e-13,0.0,3.637978807091713e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-08-16,4.547473508864641e-13,7.275957614183426e-12,3.637978807091713e-12,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-08-17,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,3.410605131648481e-13,0.0,0.0,True,True,True
2025-08-18,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,2.8421709430404007e-13,0.0,0.0,True,True,True
2025-08-19,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-20,4.547473508864641e-13,0.0,7.275957614183426e-12,2.842170943040401e-14,0.0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,5.684341886080801e-13,0.0,0.0,True,True,True
2025-08-21,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-22,2.2737367544323206e-13,0.0,3.637978807091713e-12,4.547473508864641e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,0.0,2.4158453015843406e-13,0.0,0.0,True,True,True
2025-08-23,4.547473508864641e-13,0.0,3.637978807091713e-12,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,1.1368683772161603e-13,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-08-24,4.547473508864641e-13,0.0,7.275957614183426e-12,2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.339550858072471e-13,0.0,0.0,True,True,True
2025-08-25,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,2.8421709430404007e-13,0.0,0.0,True,True,True
2025-08-26,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-08-27,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-08-28,4.547473508864641e-13,0.0,0.0,2.2737367544323206e-13,0.0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-08-29,4.547473508864641e-13,0.0,3.637978807091713e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-08-30,4.547473508864641e-13,0.0,0.0,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-08-31,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-09-01,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-09-02,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,3.637978807091713e-12,1.8189894035458565e-12,1.8189894035458565e-12,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-09-03,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-09-04,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-09-05,2.2737367544323206e-13,0.0,3.637978807091713e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-09-06,4.547473508864641e-13,0.0,3.637978807091713e-12,1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-09-07,4.547473508864641e-13,0.0,7.275957614183426e-12,2.2737367544323206e-13,0.0,1.8189894035458565e-12,1.8189894035458565e-12,2.842170943040401e-14,0.0,0.0,2.5579538487363607e-13,0.0,0.0,True,True,True
2025-09-08,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,1.8189894035458565e-12,0.0,0.0,1.3642420526593924e-12,1.3642420526593924e-12,1.3642420526593924e-12,3.410605131648481e-13,0.0,0.0,True,True,True
2025-09-09,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
