date,forecast_mode,risk_alpha,scenario_k,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,emergency_kwh,used_full_day_actual_lp,future_actuals_in_optimizer,pass,fallback_reason,include_value_cuts
2025-09-04,m3,0.6,8,10799.999999751853,6788.537039244368,41319.24285129615,0.0,41319.24285129615,7154.58230084268,0.0,False,False,True,,True
2025-09-05,m3,0.6,8,6788.537039244368,7033.854634514339,21871.579506289738,19.543391694570214,21891.122897984307,6057.406462214916,6.879053746768818,False,False,True,,True
2025-09-06,m3,0.6,8,7033.854634514339,10799.99999975326,24351.957421032494,0.0,24351.957421032494,8141.646153799488,0.0,False,False,True,,True
2025-09-07,m3,0.6,8,10799.99999975326,10799.999999751853,43152.991779464384,514.1452909861814,43667.13707045057,8764.722248832119,216.89772742821566,False,False,True,,True
2025-09-08,m3,0.6,8,10799.999999751853,9961.092848020471,39603.085132060776,11230.410305362699,50833.49543742347,3630.0085349758037,3235.6567798357382,False,False,True,,True
2025-09-09,m3,0.6,8,9961.092848020471,10059.514013968423,40892.60990627276,0.0,40892.60990627276,4494.518784150706,0.0,False,False,True,,True
2025-09-10,m3,0.6,8,10059.514013968423,10176.372277697148,40569.15847781895,14276.443255841705,54845.60173366065,3585.971560983238,3902.6923314542773,False,False,True,,True
2025-09-11,m3,0.6,8,10176.372277697148,5921.577992661062,39120.48211837057,0.0,39120.48211837057,4527.1628506071975,0.0,False,False,True,,True
2025-09-12,m3,0.6,8,5921.577992661062,6057.407253670607,19772.198542191305,850.9214347033565,20623.11997689466,2485.132035082381,225.40318640115981,False,False,True,,True
2025-09-13,m3,0.6,8,6057.407253670607,10760.096569345,22198.440699363593,663.8679076711926,22862.308607034785,3323.718144461208,165.65504144122406,False,False,True,,True
2025-09-14,m3,0.6,8,10760.096569345,9228.964836906187,40640.31980644063,7205.522810554801,47845.84261699543,2960.802753250534,1938.57816820288,False,False,True,,True
2025-09-15,m3,0.6,8,9228.964836906187,9062.081648616551,39256.65207197053,2209.5868355003904,41466.23890747092,2586.4085443827485,544.2705210736416,False,False,True,,True
2025-09-16,m3,0.6,8,9062.081648616551,8612.883535238769,39305.58934615237,6431.347068016505,45736.93641416887,1553.0122359920301,2086.0459883220933,False,False,True,,True
2025-09-17,m3,0.6,8,8612.883535238769,8870.366058009111,39699.31271595384,6643.220811175431,46342.53352712927,2384.989599799418,1579.4211847240838,False,False,True,,True
2025-09-18,m3,0.6,8,8870.366058009111,4293.270132176785,37729.40564037079,1087.1520182574952,38816.557658628284,1749.6802906324156,360.59402414114766,False,False,True,,True
2025-09-19,m3,0.6,8,4293.270132176785,4784.5873373792065,18870.116648054514,260.76792645569185,19130.884574510208,1409.1165341622193,117.4671773418855,False,False,True,,True
2025-09-20,m3,0.6,8,4784.5873373792065,9163.022285568179,21708.213416561674,1037.645022680171,22745.858439241845,2596.5067293435623,273.21290864488316,False,False,True,,True
2025-09-21,m3,0.6,8,9163.022285568179,8851.729422634531,41016.06765609485,2048.402877715231,43064.47053381008,3420.787028437295,697.0200778810985,False,False,True,,True
2025-09-22,m3,0.6,8,8851.729422634531,8539.573508996973,39212.291411312224,10833.099572135447,50045.39098344767,1430.7233054567805,2553.583672341907,False,False,True,,True
2025-09-23,m3,0.6,8,8539.573508996973,8642.134675752952,39745.772074121094,8096.303701446044,47842.07577556714,1670.644760604963,2117.080677277737,False,False,True,,True
2025-09-24,m3,0.6,8,8642.134675752952,8754.017986451563,39739.09123773087,5888.622809828138,45627.714047559006,1811.9203513466077,1894.1250336739026,False,False,True,,True
2025-09-25,m3,0.6,8,8754.017986451563,3995.76968692756,37683.589646150205,4086.072653715633,41769.662299865835,1325.6769861644786,1175.1999942307862,False,False,True,,True
2025-09-26,m3,0.6,8,3995.76968692756,4229.477999126373,18259.768092610393,646.5502777683146,18906.318370378707,1462.6933375972774,202.19650739135656,False,False,True,,True
2025-09-27,m3,0.6,8,4229.477999126373,8483.160149632302,20114.044559693037,11240.053279168704,31354.09783886174,969.8411455471312,2802.4669310671907,False,False,True,,True
2025-09-28,m3,0.6,8,8483.160149632302,8622.617480178904,40647.380841981634,5889.767017896653,46537.147859878285,1207.5228598986305,1708.0624998598805,False,False,True,,True
2025-09-29,m3,0.6,8,8622.617480178904,8545.974733118579,40246.94507388107,8751.719103294716,48998.664177175786,1661.0490818106696,2000.2763725509558,False,False,True,,True
2025-09-30,m3,0.6,8,8545.974733118579,8529.71377136198,40599.72366449395,14024.378900816275,54624.102565310226,1363.7511109856814,3577.7175030065487,False,False,True,,True
2025-10-01,m3,0.6,8,8529.71377136198,10163.922901776108,40887.14407956859,895.9334849182324,41783.077564486826,6217.7505326592955,409.4433415152962,False,False,True,,True
2025-10-02,m3,0.6,8,10163.922901776108,6247.701253006987,36880.95181104364,810.713969291979,37691.66578033562,3748.5016060195235,308.13917219441345,False,False,True,,True
2025-10-03,m3,0.6,8,6247.701253006987,6281.914913298106,17265.369069898,323.8995040094793,17589.268573907477,2378.3767673116745,136.86968839790754,False,False,True,,True
2025-10-04,m3,0.6,8,6281.914913298106,10013.375213144458,19576.42155962177,2010.3107969286666,21586.732356550434,1848.113551831078,621.9238388992212,False,False,True,,True
2025-10-05,m3,0.6,8,10013.375213144458,10160.562901184983,37627.46276461317,1044.4771487758217,38671.93991338899,1851.754997996436,423.99887057974803,False,False,True,,True
2025-10-06,m3,0.6,8,10160.562901184983,9582.853485798925,37569.627546770236,4150.952143539805,41720.57969031004,816.6635068055127,1505.550246700471,False,False,True,,True
2025-10-07,m3,0.6,8,9582.853485798925,10159.042451177162,37861.78506410463,6075.988859470317,43937.77392357495,1122.1091952988365,1691.7865948664491,False,False,True,,True
2025-10-08,m3,0.6,8,10159.042451177162,8957.533960213701,36825.616013199615,3526.0220638786136,40351.63807707823,1113.9424754923843,1054.96885470887,False,False,True,,True
2025-10-09,m3,0.6,8,8957.533960213701,4733.081174902228,35213.191767926255,3615.231585470669,38828.42335339692,971.2004302687819,1046.3861738159108,False,False,True,,True
2025-10-10,m3,0.6,8,4733.081174902228,5012.285834942021,16679.583811568278,1131.4949818509294,17811.07879341921,1366.629157940261,420.94162416738766,False,False,True,,True
2025-10-11,m3,0.6,8,5012.285834942021,8842.241770715751,19850.926536492836,710.9957677443822,20561.922304237218,2662.6006131864083,248.9915368776821,False,False,True,,True
2025-10-12,m3,0.6,8,8842.241770715751,8828.483769268694,38047.874526907166,6178.619105381771,44226.49363228894,1060.5783522065044,1758.3342893557017,False,False,True,,True
2025-10-13,m3,0.6,8,8828.483769268694,8919.412530491301,38490.48071846951,399.34204035656387,38889.82275882607,1265.3735590632064,177.68525729090914,False,False,True,,True
2025-10-14,m3,0.6,8,8919.412530491301,8769.855733332917,38116.12518537856,10118.677597355108,48234.80278273366,809.572700349641,2723.5670759908517,False,False,True,,True
2025-10-15,m3,0.6,8,8769.855733332917,8546.344144327912,37575.2641045089,12081.088290805172,49656.35239531407,356.51087778425125,3415.0277802503138,False,False,True,,True
2025-10-16,m3,0.6,8,8546.344144327912,4971.365183580057,36446.467473275734,13855.371194244839,50301.83866752057,342.74031395718225,3754.1606926926142,False,False,True,,True
2025-10-17,m3,0.6,8,4971.365183580057,4968.4924227143565,16960.719705496143,263.55782982010714,17224.27753531625,1003.9787516804557,122.4437270305074,False,False,True,,True
2025-10-18,m3,0.6,8,4968.4924227143565,8754.093991471813,18583.220220699135,429.6129083179608,19012.833129017097,660.6123746450686,199.96563625880762,False,False,True,,True
2025-10-19,m3,0.6,8,8754.093991471813,8571.96458819097,39371.97865609336,9214.280026969827,48586.258683063184,557.0646860761918,2248.1881764104005,False,False,True,,True
2025-10-20,m3,0.6,8,8571.96458819097,8853.434370973057,40189.53421738089,8970.138979708832,49159.67319708972,764.8064658569697,2279.8816840868335,False,False,True,,True
2025-10-21,m3,0.6,8,8853.434370973057,8809.370699991143,40579.448635037916,9642.065148440899,50221.51378347882,343.7633858034306,3251.4093910466318,False,False,True,,True
2025-10-22,m3,0.6,8,8809.370699991143,8394.897928018441,40382.42265197405,10738.211655756098,51120.63430773014,1021.0581351250871,2652.6996189052916,False,False,True,,True
2025-10-23,m3,0.6,8,8394.897928018441,5006.839951270789,39456.6104479246,4013.0815785844643,43469.69202650906,933.98780441808,887.9699602323228,False,False,True,,True
2025-10-24,m3,0.6,8,5006.839951270789,5063.474631054311,17471.236043165947,4246.537553192882,21717.773596358827,1337.245221916919,955.6710060011189,False,False,True,,True
2025-10-25,m3,0.6,8,5063.474631054311,8401.13912454396,18847.722394459397,3286.804153454039,22134.526547913436,1176.76378532898,791.2195914489744,False,False,True,,True
2025-10-26,m3,0.6,8,8401.13912454396,8551.011731284727,41481.29314265582,1713.4227297231566,43194.715872378976,675.8950480592152,386.6631839056573,False,False,True,,True
2025-10-27,m3,0.6,8,8551.011731284727,8438.073454003268,41404.59607382614,8800.60971931523,50205.20579314137,2135.1902068406253,1827.309047166406,False,False,True,,True
2025-10-28,m3,0.6,8,8438.073454003268,8473.041973715272,41173.36847279194,7556.398498377339,48729.76697116928,449.19319907447715,1636.103139553854,False,False,True,,True
2025-10-29,m3,0.6,8,8473.041973715272,8401.412430471646,41017.68294125608,19574.28274920045,60591.96569045653,322.8784809706357,5062.022477824668,False,False,True,,True
2025-10-30,m3,0.6,8,8401.412430471646,5158.754977103457,40328.14227365228,3286.701055416447,43614.843329068724,921.7028128349455,707.8334778032183,False,False,True,,True
2025-10-31,m3,0.6,8,5158.754977103457,5286.690827091473,17905.473972719472,7230.670935155766,25136.144907875238,1106.5167321608621,1611.3023514390106,False,False,True,,True
2025-11-01,m3,0.6,8,5286.690827091473,8355.571740325067,19599.55747188442,3331.7418152610744,22931.29928714549,1574.6417168186838,908.7316542294234,False,False,True,,True
2025-11-02,m3,0.6,8,8355.571740325067,8470.129998749031,43015.83210335976,6553.438896446098,49569.270999805856,505.2243875240808,1816.2497425079514,False,False,True,,True
