date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-08-02,21888.44648547713,0.0,21888.44648547713,37874.554199826176,0.0,15671.299220794519,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.004826499993214384,True
2025-08-03,41685.77600246763,0.0,41685.77600246763,64720.29319427062,0.0,25.40595412784699,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004892708995612338,True
2025-08-04,42797.87804722017,0.0,42797.87804722017,67275.13388088351,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004905457986751571,True
2025-08-05,42312.9805551809,0.0,42312.9805551809,67051.44523643906,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0049635420145932585,True
2025-08-06,44420.81130567366,0.0,44420.81130567366,70034.30345125389,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004922625026665628,True
2025-08-07,41816.6872826332,0.0,41816.6872826332,65421.47364982617,0.0,112.78968746118446,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005033665976952761,True
2025-08-08,21490.092260204718,0.0,21490.092260204718,37539.4547757521,0.0,20446.17157079452,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004833041981328279,True
2025-08-09,21706.781730743423,0.0,21706.781730743423,37903.680057233585,0.0,17668.202870794517,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.004906332993414253,True
2025-08-10,42665.30351381701,0.0,42665.30351381701,67136.0120697724,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004950625007040799,True
2025-08-11,42311.90395289239,0.0,42311.90395289239,66512.26334384647,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0049316249787807465,True
2025-08-12,44318.77471807385,0.0,44318.77471807385,69611.26637903164,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0052295830100774765,True
2025-08-13,42800.355818123295,0.0,42800.355818123295,67986.65708088351,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005013041984057054,True
2025-08-14,43227.01229481756,0.0,43227.01229481756,67959.44680125389,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004898667015368119,True
2025-08-15,21721.855055555276,0.0,21721.855055555276,38098.329162789145,0.0,19603.960454127853,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00482870900304988,True
2025-08-16,21812.06427068472,0.0,21812.06427068472,37923.43344612248,0.0,19684.52458746118,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004791832994669676,True
