calibration_date,history_cutoff_date,candidate_k,selected_k,effective_start_date,effective_end_date,mean_validation_cost_yuan,standard_error_yuan,validation_days,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,candidate_selected,selected,fallback_reason
2025-08-13,2025-08-12,8,2,2025-08-13,2025-08-26,40621.63810915211,2940.1099696453807,14,33.520991727024494,0.07861276807047293,True,False,False,
2025-08-13,2025-08-12,10,2,2025-08-13,2025-08-26,41433.24647096957,2974.5805202537863,14,1.8600006537839482,0.09729258913596693,True,False,False,
2025-08-13,2025-08-12,12,2,2025-08-13,2025-08-26,41235.522175259306,3009.9580061312654,14,1.1420839858658725,0.12914909243201173,True,False,False,
2025-08-27,2025-08-26,2,2,2025-08-27,2025-09-09,38668.113459618566,2827.8908110192897,14,18393.771880424138,0.024343907641845623,True,True,True,
2025-08-27,2025-08-26,4,2,2025-08-27,2025-09-09,38508.03895251963,2699.1049016939305,14,11054.47562487951,0.03908502393044598,True,False,False,
2025-08-27,2025-08-26,6,2,2025-08-27,2025-09-09,37712.37777662941,2735.9672231753016,14,11779.585474558908,0.0601485447176466,True,False,False,
2025-08-27,2025-08-26,8,2,2025-08-27,2025-09-09,37663.5777677418,2684.63690494575,14,8274.637575692363,0.07738569049355906,True,False,False,
2025-08-27,2025-08-26,10,2,2025-08-27,2025-09-09,37978.70109307292,2690.223614634658,14,7297.533292198743,0.10366042849740811,True,False,False,
2025-08-27,2025-08-26,12,2,2025-08-27,2025-09-09,38071.718310258126,2769.1268499125226,14,8726.321532573675,0.1281012142093719,True,False,False,
2025-09-10,2025-09-09,2,2,2025-09-10,2025-09-23,36459.8168365156,2621.7727628509306,14,6561.394432363049,0.024603898859433166,True,True,True,
2025-09-10,2025-09-09,4,2,2025-09-10,2025-09-23,36332.71570385895,2617.038813466495,14,3041.9348561850984,0.039190723070143055,True,False,False,
2025-09-10,2025-09-09,6,2,2025-09-10,2025-09-23,36116.50194848013,2580.952913443262,14,2661.1772471127265,0.05634091971192642,True,False,False,
2025-09-10,2025-09-09,8,2,2025-09-10,2025-09-23,36174.29190695814,2582.2246494491897,14,2650.5297723002986,0.07683794642382834,True,False,False,
2025-09-10,2025-09-09,10,2,2025-09-10,2025-09-23,36165.68987598862,2595.4126274624978,14,2572.522728624539,0.09809185407149405,True,False,False,
2025-09-10,2025-09-09,12,2,2025-09-10,2025-09-23,36212.03896279356,2603.179438864506,14,2544.2310010653828,0.13151369364849025,True,False,False,
2025-09-24,2025-09-23,2,2,2025-09-24,2025-10-07,33444.989938716186,2775.923931164288,14,9975.171669504778,0.024133240995329937,True,True,True,
2025-09-24,2025-09-23,4,2,2025-09-24,2025-10-07,33085.615220466905,2631.3202237780733,14,5891.979969909441,0.03947309535163056,True,False,False,
2025-09-24,2025-09-23,6,2,2025-09-24,2025-10-07,33006.52042581742,2543.2843726283795,14,2468.709168257169,0.05612317586201243,True,False,False,
2025-09-24,2025-09-23,8,2,2025-09-24,2025-10-07,32894.36027264526,2598.8441683325227,14,2674.1860471010864,0.07148566078935151,True,False,False,
2025-09-24,2025-09-23,10,2,2025-09-24,2025-10-07,33187.213895084,2550.390376558447,14,1721.5282612440246,0.10797378278013119,True,False,False,
2025-09-24,2025-09-23,12,2,2025-09-24,2025-10-07,33072.30282593191,2543.5288101259825,14,1679.3349702466726,0.12419417571800295,True,False,False,
2025-10-08,2025-10-07,2,2,2025-10-08,2025-10-21,32107.031043128827,2983.307917817322,14,10080.226812435243,0.025767220071949332,True,True,True,
2025-10-08,2025-10-07,4,2,2025-10-08,2025-10-21,31949.742639475568,2971.359123821642,14,9701.568114718757,0.039859776713586016,True,False,False,
2025-10-08,2025-10-07,6,2,2025-10-08,2025-10-21,31942.772474186288,2957.538004376711,14,9841.990721780781,0.05772360991561852,True,False,False,
2025-10-08,2025-10-07,8,2,2025-10-08,2025-10-21,31934.168290313686,2957.4076050817825,14,9353.437910182576,0.07358515778780982,True,False,False,
2025-10-08,2025-10-07,10,2,2025-10-08,2025-10-21,32092.156808152176,3028.100672529559,14,10408.183389112173,0.09573817572007622,True,False,False,
2025-10-08,2025-10-07,12,2,2025-10-08,2025-10-21,32255.484651742398,3074.5606838936324,14,11681.683947937121,0.11660432449675032,True,False,False,
2025-10-22,2025-10-21,2,4,2025-10-22,2025-11-04,35596.20308162736,3435.6557066059827,14,30964.816978490097,0.025104595217271708,True,False,False,
2025-10-22,2025-10-21,4,4,2025-10-22,2025-11-04,31837.5596393701,3071.4955650742304,14,11657.525174586253,0.039121467148236534,True,True,True,
2025-10-22,2025-10-21,6,4,2025-10-22,2025-11-04,31746.531110005457,3050.542167132081,14,10745.502720119224,0.057258907855222266,True,False,False,
2025-10-22,2025-10-21,8,4,2025-10-22,2025-11-04,31591.65576758925,3023.8044970786304,14,10723.13594318035,0.07823512514421184,True,False,False,
2025-10-22,2025-10-21,10,4,2025-10-22,2025-11-04,31652.79223467428,3087.061103627845,14,10573.312203307158,0.10371556541940663,True,False,False,
2025-10-22,2025-10-21,12,4,2025-10-22,2025-11-04,31597.495948550426,3087.2785551397,14,10832.713850265525,0.12897355642676953,True,False,False,
2025-11-05,2025-11-04,2,2,2025-11-05,2025-11-18,36388.01605787589,3706.0623622501935,14,15015.590077564384,0.023763437574546385,True,True,True,
