date,selected_k,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,planned_q_sha256,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,pass
2025-04-09,2,49711.37070977101,7262.494955073214,56973.86566484422,63374.73915238096,8a569763064568699c3520c7a1ed0b6b20d263a816a96e0ba59aaf45d74dd67d,61226.60855297619,2148.130599404761,1982.7266636904758,4075.0241999999994,1.1368683772161603e-13,0.0,True
2025-04-10,2,49644.14281023339,6080.384103462495,55724.52691369588,63267.43953809524,1f003b52daec106bc16c9b2c4ac95d06b74b99a83a2a58c14d1fb5b1871e7b05,61068.823139285705,2198.6163988095245,1560.2426107142844,8168.427849999999,1.1368683772161603e-13,0.0,True
2025-04-11,2,26047.590766936486,3414.52803972381,29462.118806660295,35751.79005416666,da49b50507d66bfd77c99af406da810d175de7d6e9ef17ddc8bb9da7d1edb1c5,33962.975307738096,1788.8147464285712,1014.7102589285714,29661.0354,0.0,0.0,True
2025-04-12,2,26145.175700846907,1729.7360413342237,27874.91174218113,35992.024411309525,7997c5e50f4be8f2b499908bc213331eb903092d82a08abff89df2a784bc1e73,33919.12128095238,2072.903130357143,468.37468571428514,25362.335416666665,0.0,0.0,True
2025-04-13,2,48508.02662533601,5969.278562158926,54477.30518749494,62196.577894642855,040f05f31d49c75340b738cbecd27b26074e643f8b241937af9344a010ec8760,59800.06919761904,2396.50869702381,1413.6741190476182,6937.3848333333335,0.0,0.0,True
2025-04-14,2,48798.622820210585,3737.131577999704,52535.75439821029,62454.492447023804,9e40637bfcca8227364867ac836d514302a4149624d7c7b4ed1ce68ef7450c8e,59179.971471428566,3274.5209755952374,1081.876645238095,7733.816316666666,1.1368683772161603e-13,0.0,True
2025-04-15,2,49005.01967137446,2442.625393348214,51447.645064722674,62675.70109761905,53a0541e07778cda17a81df8d56a73789cf0b9af7ebe6447ba4340626c7fd919,59199.94955952381,3475.7515380952373,568.045423809524,9628.566149999999,0.0,0.0,True
2025-04-16,2,48442.843421073514,3607.827966216369,52050.67138728988,62103.327744047616,34394529e33bb1f3f78f656385574ff5efd23dbd473fed771bc043fa78120e20,60239.52154285714,1863.806201190478,1019.9800071428571,5479.9096,1.1368683772161603e-13,0.0,True
2025-04-17,2,48004.01756767815,3420.489866605057,51424.50743428321,61723.23092559523,593b61b6390e1789dead9381807afc97f1fe96c7a1f22650cbe9c687e0e8e896,59664.43272619047,2058.7981994047605,764.2608738095237,7560.35125,1.1368683772161603e-13,0.0,True
2025-04-18,2,25298.658929699166,1636.0445487619024,26934.70347846107,35100.71996607143,ce77745fbd345b6502c1d6e69efd388f747ad3e188eec6bf3ba0c11dd3821ea2,33284.97198869048,1815.7479773809528,524.7147613095233,27455.569566666665,5.684341886080802e-14,0.0,True
