time,price,load_kwh,pv_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,curtailment_kwh,balance_residual_kwh
14:40-14:50,1.0906,944.0324666666667,920.2511,0.0,0.0,23.781366666666713,10774.932238487243,0.0,0.0
14:50-15:00,0.9376,945.4501833333334,878.1301666666666,0.0,0.0,67.32001666666679,10703.970710224856,0.0,0.0
15:00-15:10,0.6694,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,10703.970710224856,0.0,0.0
15:10-15:20,0.66,944.8365833333334,790.5747333333334,255.4856092592581,101.2237592592581,0.0,10800.0,0.0,4.263256414560601e-14
15:20-15:30,0.7217,942.7275166666666,745.204,197.52351666666664,0.0,0.0,10800.0,0.0,0.0
15:30-15:40,0.7308,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,10800.0,0.0,0.0
15:40-15:50,0.7534,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,10800.0,0.0,0.0
15:50-16:00,0.7823,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,10800.0,0.0,0.0
16:00-16:10,0.8055,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,10800.0,0.0,0.0
16:10-16:20,0.8271,945.1691000000001,499.73744999999997,445.4316500000001,0.0,0.0,10800.0,0.0,0.0
16:20-16:30,0.8519,943.5987666666666,447.90218333333337,495.69658333333325,0.0,0.0,10800.0,0.0,0.0
16:30-16:40,0.8791,944.3153666666667,397.1963166666667,547.11905,0.0,0.0,10800.0,0.0,0.0
16:40-16:50,0.9024,948.1728666666666,348.18743333333333,599.9854333333333,0.0,0.0,10800.0,0.0,0.0
16:50-17:00,0.9163,933.9435666666666,298.5138166666667,635.4297499999999,0.0,0.0,10800.0,0.0,0.0
17:00-17:10,0.9264,911.1187333333334,250.28805,660.8306833333334,0.0,0.0,10800.0,0.0,0.0
17:10-17:20,0.9462,911.2323166666666,209.19538333333333,702.0369333333333,0.0,0.0,10800.0,0.0,0.0
17:20-17:30,0.9742,910.7878333333333,172.72205,738.0657833333333,0.0,0.0,10800.0,0.0,0.0
17:30-17:40,0.9862,915.4076333333334,139.46291666666667,775.9447166666666,0.0,0.0,10800.0,0.0,-1.1368683772161603e-13
17:40-17:50,0.976,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,10800.0,0.0,0.0
17:50-18:00,1.0742,848.5354333333332,86.11263333333332,762.4227999999999,0.0,0.0,10800.0,0.0,0.0
18:00-18:10,1.2313,701.4281333333333,64.44551666666666,636.9826166666667,0.0,0.0,10800.0,0.0,0.0
18:10-18:20,1.2561,687.1268499999999,45.96554999999999,64.53438871506815,0.0,576.6269112849317,10192.181866730589,0.0,0.0
18:20-18:30,1.2447,709.3226333333333,30.492099999999997,678.8305333333333,0.0,0.0,10192.181866730589,0.0,0.0
18:30-18:40,1.2545,704.3254,18.0569,686.2684999999999,0.0,0.0,10192.181866730589,0.0,0.0
18:40-18:50,1.2522,705.5563999999999,9.052016666666667,696.5043833333333,0.0,0.0,10192.181866730589,0.0,0.0
18:50-19:00,1.2881,707.7437499999999,3.1094833333333334,0.0,0.0,704.6342666666666,9449.432133374212,0.0,0.0
19:00-19:10,1.3466,706.5299166666666,0.04588333333333333,0.0,0.0,706.4840333333333,8704.732574748994,0.0,0.0
