date,strategy,year_end_boundary,year_end_soc_kwh,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,g0_kwh,g_final_kwh,planned_energy_cost_yuan,max_balance_residual_kwh
2025-03-11,M1_M6,A_q2_aligned,1200.0,44961.51165159631,42352.66358642075,2608.848065175557,660.4488141911795,719.1784446535639,21061.5428617598,18884.4611148381,8414.069119768452,8488.83322797133,62462.30422366109,68483.0765411453,37696.78053765175,1.829647544582258e-13
2025-03-12,M1_M6,A_q2_aligned,1200.0,43594.62197948325,41591.054186750465,2003.567792732783,478.33001485530883,758.603979166668,20463.36184614729,18549.188539150502,8488.83322797133,8349.521322839732,72069.68087365637,66479.93769977966,43240.44576619639,1.1368683772161603e-13
2025-03-13,M1_M6,A_q2_aligned,1200.0,45387.06050600511,42330.46900849048,3056.5914975146284,609.6185837233695,62.847459722224826,16677.773866681437,18167.37197192152,8349.521322839732,5021.35532856489,68503.50810980641,68719.7711003171,41684.52581792752,1.3500311979441904e-13
2025-03-14,M1_M6,A_q2_aligned,1200.0,16554.56910560415,15421.655787976582,1132.9133176275686,293.2201388005086,12248.35442777778,14216.594833370908,12952.43854039093,5021.35532856489,4855.332388474374,29782.83883158827,30349.9164288439,14815.782283685903,1.1368683772161603e-13
2025-03-15,M1_M6,A_q2_aligned,1200.0,18786.82156031244,16788.196752779415,1998.624807533027,515.149420312884,7534.071944868595,18126.072031926175,13103.067674081296,4855.332388474374,8239.388122616032,33293.850871782284,33720.84758798279,16212.303108677599,1.1368683772161603e-13
2025-03-16,M1_M6,A_q2_aligned,1200.0,42770.68106261437,41665.15730995276,1105.523752661612,276.64969506431476,491.35029999999784,21098.997738887578,18722.52613877035,8239.388122616032,8520.37949958689,68332.53245355394,68410.22838767289,41077.12877399492,2.2737367544323206e-13
2025-03-17,M1_M6,A_q2_aligned,1200.0,40569.3661893026,38205.52350710985,2363.8426821927505,776.084409212599,279.8273967592605,20204.518452083143,18131.73284640309,8520.37949958689,8575.544126791016,63811.63443432529,60529.010227541134,37525.349335721745,1.1368683772161603e-13
2025-03-18,M1_M6,A_q2_aligned,1200.0,43002.863821475185,41360.89696204902,1641.966859426167,357.4294792868114,643.8888347222234,20612.78454694517,18683.718042757482,8575.544126791016,8436.180494292677,72453.85150117113,65697.49604586241,43554.89396221573,3.410605131648481e-12
2025-03-19,M1_M6,A_q2_aligned,1200.0,42046.541849943605,39543.993947838695,2502.5479021049123,881.6308704781444,1057.6941783950647,20810.4686731321,18533.90479769864,8436.180494292677,8642.273516613219,59354.632025508734,63967.48390957933,35804.43580593145,1.8829382497642655e-13
2025-03-20,M1_M6,A_q2_aligned,1200.0,43897.12264115161,37911.917966517416,5985.204674634193,1898.4760381110539,0.8765666666666667,16408.54866297714,18620.62273935313,8642.273516613219,4580.929809402141,62991.30980963344,59271.81630035416,38597.61745882158,2.2737367544323206e-13
2025-03-21,M1_M6,A_q2_aligned,1200.0,16651.508334514743,14044.387276572239,2607.121057942505,716.0106754996337,15243.515531715642,14066.226109489098,13109.774004416468,4580.929809402141,4106.408431402384,28073.587025026776,28010.751141322093,13967.58235748783,1.1368683772161603e-13
2025-03-22,M1_M6,A_q2_aligned,1200.0,17580.40853858136,16568.591429986416,1011.8171085949417,371.55692580619296,11332.388608398416,18349.688940319425,12310.08498279805,4106.408431402384,8538.482941546814,33837.38177406179,33516.25240438991,16711.31366411245,1.1368683772161603e-13
2025-03-23,M1_M6,A_q2_aligned,1200.0,41303.52723273462,39211.61209492719,2091.9151378074257,479.9940440461392,1162.5929236111083,20186.73185394977,18282.41501565672,8538.482941546814,8417.940767633847,68153.95917876181,63592.768876203205,40819.54580829953,2.2737367544323206e-13
