date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-05-24,12599.041424148236,0.0,12599.041424148236,25435.895383159514,0.0,20499.672687461185,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.004494416993111372,True
2025-05-25,31006.881805645535,0.0,31006.881805645535,50234.224117920545,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004554792016278952,True
2025-05-26,33670.673367528805,0.0,33670.673367528805,56420.078104957574,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004834167018998414,True
2025-05-27,31136.219581786605,0.0,31136.219581786605,51099.85942717981,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004737457988085225,True
2025-05-28,32486.39595354973,0.0,32486.39595354973,54090.58338829092,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0047767499927431345,True
2025-05-29,33758.01080077084,0.0,33758.01080077084,55993.251845698316,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0048889169993344694,True
2025-05-30,12961.942642346941,0.0,12961.942642346941,25724.655092418772,0.0,17913.188587461183,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004588582989526913,True
2025-05-31,12663.885924802587,0.0,12663.885924802587,25725.439843344695,0.0,16115.369437461184,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004469209001399577,True
2025-06-01,44570.51808907293,0.0,44570.51808907293,73340.72108643905,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004685291991336271,True
2025-06-02,43738.9650082457,0.0,43738.9650082457,70811.59404569832,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004627290996722877,True
2025-06-03,43048.73412060243,0.0,43048.73412060243,70352.8858432485,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004821874987101182,True
2025-06-04,43571.30518578718,0.0,43571.30518578718,71763.60798273535,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004815666994545609,True
2025-06-05,44780.90325977397,0.0,44780.90325977397,73348.80778310573,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004695458017522469,True
2025-06-06,19885.022746476046,0.0,19885.022746476046,34867.12411278914,0.0,2713.7974874611864,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004553042002953589,True
2025-06-07,18879.83241677012,0.0,18879.83241677012,33688.562101678035,0.0,1267.8565207945178,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004647833004128188,True
2025-06-08,41431.491908757926,0.0,41431.491908757926,67105.5090734761,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004698707984061912,True
2025-06-09,45072.126992416626,0.0,45072.126992416626,73137.84234014276,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00459916700492613,True
2025-06-10,45135.52028961308,0.0,45135.52028961308,73828.14997921683,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004582708002999425,True
2025-06-11,48538.871592228475,0.0,48538.871592228475,78546.37454940203,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004791707993717864,True
2025-06-12,46011.37521331578,0.0,46011.37521331578,74745.84185366129,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004666708002332598,True
2025-06-13,18743.724560593644,0.0,18743.724560593644,33246.444303529875,0.0,3598.502874498221,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004497957997955382,True
2025-06-14,18653.05589669253,0.0,18653.05589669253,33316.93404241877,0.0,5859.216154127849,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.00462479199632071,True
2025-06-15,44293.50557097645,0.0,44293.50557097645,72858.2077771798,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004794750013388693,True
2025-06-16,45908.1933353559,0.0,45908.1933353559,74989.29223213738,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0047677080146968365,True
2025-06-17,47357.23336761571,0.0,47357.23336761571,77015.32705680943,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004929791000904515,True
2025-06-18,44574.65305122014,0.0,44574.65305122014,73081.02472717981,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004578666994348168,True
2025-06-19,43269.97372340182,0.0,43269.97372340182,70426.80650310572,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00454829100635834,True
2025-06-20,17437.541914581532,0.0,17437.541914581532,31483.225318344696,0.0,7851.798337461187,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004388250003103167,True
