date,day_index,soc_start_kwh,soc_end_kwh
2025-09-28,270,8111.245566576727,5697.832728598091
2025-09-29,271,5697.832728598091,2535.6656579610853
2025-09-30,272,2535.6656579610853,2524.5733629231268
2025-10-01,273,2524.5733629231268,3942.521042546472
2025-10-02,274,3942.521042546472,3521.5469309006025
2025-10-03,275,3521.5469309006025,5513.9901403942185
2025-10-04,276,5513.9901403942185,10142.208104760635
2025-10-05,277,10142.208104760635,5705.404586859647
2025-10-06,278,5705.404586859647,3560.932034700324
2025-10-07,279,3560.932034700324,6367.823362836445
2025-10-08,280,6367.823362836445,6310.125937872695
2025-10-09,281,6310.125937872695,2573.499911338492
2025-10-10,282,2573.499911338492,6266.819762300398
2025-10-11,283,6266.819762300398,8864.831463637072
2025-10-12,284,8864.831463637072,5685.1527417755215
2025-10-13,285,5685.1527417755215,5519.530009127337
2025-10-14,286,5519.530009127337,6268.575629118442
2025-10-15,287,6268.575629118442,8209.184257090687
2025-10-16,288,8209.184257090687,1925.4085152789075
2025-10-17,289,1925.4085152789075,5287.512531550525
2025-10-18,290,5287.512531550525,9121.438650968228
2025-10-19,291,9121.438650968228,8695.388417358845
2025-10-20,292,8695.388417358845,8905.919794975933
2025-10-21,293,8905.919794975933,8281.582105525817
2025-10-22,294,8281.582105525817,7846.158370896895
2025-10-23,295,7846.158370896895,1228.7551072631022
2025-10-24,296,1228.7551072631022,6483.074881258198
2025-10-25,297,6483.074881258198,8357.126956462846
2025-10-26,298,8357.126956462846,8408.728545346226
2025-10-27,299,8408.728545346226,7878.46729953034
2025-10-28,300,7878.46729953034,8295.977110316284
2025-10-29,301,8295.977110316284,6579.158404348954
2025-10-30,302,6579.158404348954,1200.0
2025-10-31,303,1200.0,6549.487705260464
2025-11-01,304,6549.487705260464,7661.936441775311
2025-11-02,305,7661.936441775311,6357.969349252649
2025-11-03,306,6357.969349252649,5039.339110034708
2025-11-04,307,5039.339110034708,6577.419157325673
2025-11-05,308,6577.419157325673,5636.565533162534
2025-11-06,309,5636.565533162534,1239.6695870959395
2025-11-07,310,1239.6695870959395,7088.248407605286
2025-11-08,311,7088.248407605286,9251.722635413733
2025-11-09,312,9251.722635413733,5853.615573734171
2025-11-10,313,5853.615573734171,5830.754452183894
2025-11-11,314,5830.754452183894,2252.638698456392
2025-11-12,315,2252.638698456392,2907.2747777372792
2025-11-13,316,2907.2747777372792,1305.85478094389
2025-11-14,317,1305.85478094389,4645.554644583497
2025-11-15,318,4645.554644583497,9545.980383926768
2025-11-16,319,9545.980383926768,6438.547395795901
2025-11-17,320,6438.547395795901,6374.461936626634
2025-11-18,321,6374.461936626634,4498.175726336919
2025-11-19,322,4498.175726336919,6472.67777475028
2025-11-20,323,6472.67777475028,1276.3997375786264
2025-11-21,324,1276.3997375786264,5397.619545550052
2025-11-22,325,5397.619545550052,9826.512322533275
2025-11-23,326,9826.512322533275,8559.192375721623
2025-11-24,327,8559.192375721623,7399.113056217541
2025-11-25,328,7399.113056217541,6654.725661581364
2025-11-26,329,6654.725661581364,9059.18578464703
2025-11-27,330,9059.18578464703,2086.858253108391
2025-11-28,331,2086.858253108391,7334.954336256576
2025-11-29,332,7334.954336256576,10433.20008357341
2025-11-30,333,10433.20008357341,8915.711946820642
2025-12-01,334,8915.711946820642,6444.096438174092
2025-12-02,335,6444.096438174092,7349.29756126778
2025-12-03,336,7349.29756126778,6062.349081850306
2025-12-04,337,6062.349081850306,1953.93757425192
2025-12-05,338,1953.93757425192,6380.962978828834
2025-12-06,339,6380.962978828834,10122.581925114033
2025-12-07,340,10122.581925114033,9343.508371615651
2025-12-08,341,9343.508371615651,7395.068717567491
2025-12-09,342,7395.068717567491,8412.789187665781
2025-12-10,343,8412.789187665781,6505.436257375531
2025-12-11,344,6505.436257375531,2684.11850245564
2025-12-12,345,2684.11850245564,8733.618050170662
2025-12-13,346,8733.618050170662,9772.725087694824
2025-12-14,347,9772.725087694824,9866.448845153773
2025-12-15,348,9866.448845153773,8289.217058766604
2025-12-16,349,8289.217058766604,8605.17308746635
2025-12-17,350,8605.17308746635,8358.871111004939
2025-12-18,351,8358.871111004939,1978.2935444472132
2025-12-19,352,1978.2935444472132,8493.420055746115
2025-12-20,353,8493.420055746115,9726.10275685638
2025-12-21,354,9726.10275685638,8792.778476911988
2025-12-22,355,8792.778476911988,8602.36014990008
2025-12-23,356,8602.36014990008,9312.17359239202
2025-12-24,357,9312.17359239202,9124.100317032697
2025-12-25,358,9124.100317032697,2331.0288360327318
2025-12-26,359,2331.0288360327318,10274.53909808734
2025-12-27,360,10274.53909808734,10799.999999742407
2025-12-28,361,10799.999999742407,9000.20788857116
2025-12-29,362,9000.20788857116,8874.648866752952
2025-12-30,363,8874.648866752952,9546.563400017609
2025-12-31,364,9546.563400017609,1200.0
