date,n_adjusted_periods,normal_cost_yuan,emergency_cost_yuan,adjustment_delivery_yuan,adjustment_update_clock_yuan,total_delivery_yuan,total_update_clock_yuan,adjustment_gap_yuan,ledger_matches_delivery
2025-03-31,15,35749.87186505027,4305.582856678013,1045.4476132845334,1751.5948106752362,41100.90233501283,41807.04953240353,706.1471973907028,True
2025-04-01,24,38528.71056146185,3833.0922098780434,1602.75807077375,1855.0719411022944,43964.56084211364,44216.87471244219,252.31387032854445,True
2025-04-02,16,38674.27709840097,3561.2840829944653,266.1259129387858,280.6702107456624,42501.687094334215,42516.2313921411,14.544297806876614,True
2025-04-03,33,33536.01872160934,2161.5363272481227,1820.1314342509881,2111.0348976543924,37517.68648310845,37808.58994651185,290.9034634034042,True
2025-04-04,9,11716.365409396913,1204.3185603777852,21.441325348774335,13.717181654217313,12942.125295123473,12934.401151428916,-7.724143694557021,True
2025-04-05,10,11647.79985215735,5519.892175088599,91.75768967426949,102.21461833214694,17259.449716920222,17269.9066455781,10.456928657877455,True
2025-04-06,32,33011.875210366336,2499.9027576498447,1669.7411501713107,2459.0851829049784,37181.51911818749,37970.863150921155,789.3440327336677,True
2025-04-07,24,32531.001002891287,1987.602559829741,654.0746675164207,491.15418215887905,35172.67823023745,35009.757744879906,-162.92048535754168,True
2025-04-08,30,34306.73603814341,4083.690238033943,1442.934224252766,1848.9319503086506,39833.36050043012,40239.35822648601,405.99772605588464,True
2025-04-09,21,37022.92043145881,3790.428067560356,429.76870097297467,626.3915790858251,41243.11719999214,41439.740078104995,196.62287811285046,True
2025-04-10,30,32150.644007054085,4062.734915449037,1100.2161439733934,883.0248664786427,37313.59506647651,37096.403788981755,-217.1912774947507,True
2025-04-11,13,11636.839813946997,3490.5313435235153,129.28025036053333,141.62446580082482,15256.651407831043,15268.995623271336,12.344215440291492,True
2025-04-12,13,10973.196394871464,903.2819888677977,201.9210920921629,110.61407276041633,12078.399475831426,11987.092456499679,-91.30701933174656,True
2025-04-13,16,32017.70065494396,3389.2958170122006,363.64201070869956,465.6962701030337,35770.63848266486,35872.69274205919,102.05425939433417,True
2025-04-14,29,30884.089460742158,7777.03079879885,1804.5585889920435,1709.252127862821,40465.678848533054,40370.372387403826,-95.3064611292225,True
2025-04-15,25,31149.19384148013,4495.366901394029,555.3193659434686,629.92410364861,36199.880108817626,36274.48484652276,74.60473770514136,True
2025-04-16,32,34303.18258291836,3867.8725838948967,790.4923071398694,692.6431310831463,38961.54747395313,38863.6982978964,-97.84917605672308,True
2025-04-17,14,31031.17595856189,5032.0192030440485,782.4729848039699,1366.078102089747,36845.66814640991,37429.273263695686,583.6051172857772,True
2025-04-18,8,9958.849199371642,3105.9422057149095,57.030921269541665,66.0392712678429,13121.822326356092,13130.830676354391,9.008349998301242,True
2025-04-19,11,11774.979176756915,1048.8928874737255,160.648023294746,78.70104717977067,12984.520087525389,12902.573111410413,-81.94697611497533,True
2025-04-20,25,30697.200160541106,3309.2581560843455,452.0257721017474,302.7331039931564,34458.4840887272,34309.191420618605,-149.292668108591,True
2025-04-21,27,29882.360750412623,4928.024344025358,1068.660927044761,1062.185576644404,35879.04602148274,35872.57067108238,-6.4753504003570015,True
