date,day_index,strategy,load_information_case,year_end_boundary,year_end_soc_kwh,settlement_rule,price_mode,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,g_final_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,locked_period_violations,max_balance_residual_kwh,max_simultaneous_cd_kwh2,runtime_seconds,max_x_minus_g_kwh,pass
2025-04-27,116,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,29046.3750831827,885.2866543563224,4785.520756143323,34717.18249368235,46782.18888623402,49754.29026719745,1262.9827082112051,2026.719763271605,9780.097229967481,6864.846427459114,3,0,1.1368683772161603e-13,0.0,5.13245293100772,0.0,True
2025-04-28,117,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,34124.50661290075,869.5717136761659,2660.2332109689823,37654.311537545895,58299.763416513066,59023.95308621046,697.8796307693942,182.76211574073918,6864.846427459114,5954.731726202484,3,0,1.1368683772161603e-13,0.0,5.015845834990614,0.0,True
2025-04-29,118,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,30229.453401447186,879.5586451076175,2748.733956364753,33857.74600291956,51300.188507284634,52562.083323799,667.6584222163019,1116.7202513500758,5954.731726202484,7300.152789541966,3,0,1.1368683772161603e-13,0.0,4.778011728005367,0.0,True
2025-04-30,119,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,28900.672275378034,286.3692536976982,4454.856467188485,33641.89799626422,48914.689059183205,49829.9607816316,1449.920296866098,125.7554787140773,7300.152789541966,7659.09528606621,3,0,1.6342482922482304e-13,0.0,4.649284591010655,0.0,True
2025-05-01,120,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,29321.29689467219,983.1440890041836,16633.40534782391,46937.84633150029,44886.176348008885,48065.289184023015,3796.1648572818335,3311.5602559797035,7659.09528606621,1955.2859059579757,3,0,1.1368683772161603e-13,0.0,4.579886040999554,0.0,True
2025-05-02,121,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,9661.51420471661,42.39297294785798,9456.363137226683,19160.270314891153,26538.18000391165,26410.194551457775,2671.180717704751,12765.212047023,1955.2859059579757,1601.1674981569802,3,0,1.1368683772161603e-13,0.0,4.696706820002873,0.0,True
2025-05-03,122,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,12341.709065775307,14.238746795338699,9982.121429934545,22338.06924250519,34429.31765460863,34471.830062438334,2711.2621322633204,17320.931236998218,1601.1674981569802,10290.01988165612,3,0,1.1368683772161603e-13,0.0,4.763894889008952,0.0,True
2025-05-04,123,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,26720.26268827469,635.0698204795037,20242.668207183906,47598.000715938106,45284.97512498949,43341.17363758436,4681.659211900929,2011.4979283267755,10290.01988165612,2547.1593539595556,3,0,2.2737367544323206e-13,0.0,4.215940010006307,0.0,True
2025-05-05,124,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,32487.25377635385,297.1687465545481,17533.1068905844,50317.5294134928,55889.58906522813,55329.357582778684,3607.1348118280857,533.6661337337439,2547.1593539595556,3182.706711265762,3,0,2.2737367544323206e-13,0.0,4.68904385100177,0.0,True
2025-05-06,125,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,30791.746472174458,853.7157070806854,19055.113694744883,50700.57587400003,48346.888878485464,50833.37487007395,4354.319951709902,193.10126512637595,3182.706711265762,2941.187760091019,3,0,1.1368683772161603e-13,0.0,4.569830116000958,0.0,True
2025-05-07,126,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,33822.774271907794,720.7930249358367,16741.01129440656,51284.5785912502,54128.614377588856,57264.16464914933,3428.5080451654217,363.73176743831044,2941.187760091019,5632.737333367327,3,0,1.5631940186722204e-13,0.0,4.578013817997999,0.0,True
