date,day_index,strategy,load_information_case,year_end_boundary,year_end_soc_kwh,settlement_rule,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,g_final_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,locked_period_violations,max_balance_residual_kwh,max_simultaneous_cd_kwh2,runtime_seconds,max_x_minus_g_kwh,pass
2025-10-07,279,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,41303.697276714665,930.6974228280253,710.7796972530539,42945.17439679575,63157.936160742436,65657.61040441049,244.30211875836474,744.7385336122927,4210.446974187767,7557.042404511975,2,0,1.1368683772161603e-13,0.0,5.013124470002367,0.0,True
2025-10-08,280,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,36863.344816834106,366.1224764883676,2865.2867503868856,40094.754043709356,56633.01104697418,58064.80759991705,779.1911615746393,65.02513333333124,7557.042404511975,6639.6768823649445,2,0,1.1368683772161603e-13,0.0,5.169885005001561,0.0,True
2025-10-09,281,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,35451.90325566253,2556.7271903601236,4182.204170063885,42190.83461608655,63613.780527880255,54665.13638829546,1057.2316524073015,881.9417901852869,6639.6768823649445,2825.372370923416,2,0,9.094947017729282e-13,0.0,4.796903930000553,0.0,True
2025-10-10,282,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,13194.138884645861,228.07471818655733,1919.9848385766468,15342.198441409066,32914.00243382291,32206.532370630404,714.5297264534408,19085.915315083435,2825.372370923416,5165.334773776974,3,0,1.1368683772161603e-13,0.0,4.961784623999847,0.0,True
2025-10-11,283,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,15225.354508855911,73.79203445514392,640.0693958889805,15939.215939200038,37734.69828119295,37518.7965567457,259.0335736664076,14206.703253664888,5165.334773776974,10168.727975848651,3,0,1.7053025658242404e-12,0.0,4.97993884600146,0.0,True
2025-10-12,284,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,36549.872267448736,308.117846680999,2847.255671095599,39705.24578522533,57600.25271400183,57260.8391724214,780.7090657556636,82.60377222222544,10168.727975848651,6503.914529172592,2,0,1.1368683772161603e-13,0.0,4.822106999003154,0.0,True
2025-10-13,285,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,37731.94400904978,1841.963700496088,5179.071176287996,44752.97888583386,63721.771471630746,59020.74104041828,1601.3474204059767,175.61235673422635,6503.914529172592,6587.313468758019,2,0,1.1368683772161603e-13,0.0,4.748900042002788,0.0,True
2025-10-14,286,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,41919.682927981004,1130.5425395823552,3363.0753063268176,46413.30077389018,67541.47524869055,65214.514708388815,925.7384619611158,853.6982791278483,6587.313468758019,7511.7864618193325,2,0,1.4921397450962104e-13,0.0,5.220724029997655,0.0,True
2025-10-15,287,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,40120.7555410069,1641.3540600200831,5135.5146124560615,46897.624213483046,69235.49140769774,63909.416305769824,1717.6268728811067,31.362416666665794,7511.7864618193325,7748.73718673626,3,0,1.7053025658242404e-13,0.0,5.006418461001886,0.0,True
2025-10-16,288,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,39638.34970692014,606.11492934391,3923.0919350810946,44167.55657134514,59238.23416759746,59628.429026964484,1129.8520024840514,626.7294748456807,7748.73718673626,2462.9318775572397,3,0,1.1368683772161603e-13,0.0,4.645835531002376,0.0,True
2025-10-17,289,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,14128.112804557366,352.82221678145834,1151.1349519393166,15632.069973278141,33795.27061152802,34806.33892101217,382.42853987087506,12427.175750424145,2462.9318775572397,6714.994222098755,3,0,1.1368683772161603e-13,0.0,5.064805927999259,0.0,True
2025-10-18,290,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,14721.774157129457,374.91917363057246,1103.1572768689712,16199.850607628998,37064.64934039935,36174.27635231693,407.6196936873098,12657.492022373253,6714.994222098755,10799.999999750595,2,0,1.1368683772161603e-13,0.0,5.056085661002726,0.0,True
2025-10-19,291,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,40841.501792113064,648.3647684922487,6106.701950694656,47596.56851129996,64325.277582233146,62616.34126694119,1738.4100647275857,0.03223333333333333,10799.999999750595,8258.91185111648,2,0,1.1368683772161603e-13,0.0,5.582169721994433,0.0,True
2025-10-20,292,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,43775.22082307645,1544.1710265031152,2628.558708648589,47947.950558228156,73230.74082607517,69591.8942098771,609.1374682460588,122.4002236111112,8258.91185111648,9958.809968780733,3,0,1.4210854715202004e-13,0.0,5.54949924399989,0.0,True
